timestamp,feature_name,tokens_used,api_cost_usd,manual_time_saved_mins,hourly_labor_rate
2026-03-16 19:54:11.655942,AI_Email_Composer,3511,0.0351,0.46,30
2026-02-15 19:54:11.656171,AI_Support_Bot,2246,0.0449,11.14,25
2026-02-25 19:54:11.656241,AI_Email_Composer,2230,0.0223,7.28,30
2026-03-06 19:54:11.656297,AI_Support_Bot,3412,0.0682,13.2,25
2026-03-14 19:54:11.656349,AI_Support_Bot,1343,0.0269,9.45,25
2026-03-16 19:54:11.656399,AI_Support_Bot,2901,0.058,9.78,25
2026-02-24 19:54:11.656451,AI_Code_Refactor,2210,0.0663,17.78,60
2026-02-16 19:54:11.656501,AI_Code_Refactor,1137,0.0341,20.47,60
2026-03-02 19:54:11.656552,AI_Support_Bot,2111,0.0422,13.17,25
2026-02-26 19:54:11.656608,AI_Email_Composer,1948,0.0195,6.18,30
2026-03-07 19:54:11.656665,AI_Support_Bot,1184,0.0237,15.62,25
2026-02-25 19:54:11.656716,AI_Email_Composer,2215,0.0221,4.73,30
2026-02-26 19:54:11.656807,AI_Code_Refactor,2080,0.0624,22.63,60
2026-02-26 19:54:11.656922,AI_Email_Composer,1717,0.0172,3.86,30
2026-03-04 19:54:11.656979,AI_Code_Refactor,1151,0.0345,22.2,60
2026-02-19 19:54:11.657030,AI_Support_Bot,1411,0.0282,8.87,25
2026-03-16 19:54:11.657079,AI_Code_Refactor,3525,0.1057,22.0,60
2026-02-15 19:54:11.657130,AI_Support_Bot,2112,0.0422,12.2,25
2026-02-15 19:54:11.657186,AI_Email_Composer,1680,0.0168,2.69,30
2026-02-27 19:54:11.657235,AI_Support_Bot,889,0.0178,14.2,25
2026-02-16 19:54:11.657283,AI_Code_Refactor,1794,0.0538,19.99,60
2026-03-03 19:54:11.657333,AI_Support_Bot,3791,0.0758,8.78,25
2026-03-07 19:54:11.657383,AI_Code_Refactor,2313,0.0694,18.51,60
2026-03-09 19:54:11.657432,AI_Code_Refactor,854,0.0256,16.67,60
2026-03-10 19:54:11.657487,AI_Support_Bot,3449,0.069,9.32,25
2026-03-06 19:54:11.657546,AI_Code_Refactor,3061,0.0918,21.42,60
2026-03-12 19:54:11.657610,AI_Email_Composer,887,0.0089,6.88,30
2026-02-27 19:54:11.657664,AI_Support_Bot,2616,0.0523,9.76,25
2026-03-03 19:54:11.657720,AI_Code_Refactor,607,0.0182,23.42,60
2026-02-21 19:54:11.657778,AI_Support_Bot,2862,0.0572,10.66,25
2026-02-27 19:54:11.657883,AI_Support_Bot,1378,0.0276,8.72,25
2026-02-23 19:54:11.657938,AI_Email_Composer,1272,0.0127,3.52,30
2026-03-16 19:54:11.657978,AI_Support_Bot,1603,0.0321,9.85,25
2026-02-23 19:54:11.658017,AI_Support_Bot,2198,0.044,9.71,25
2026-02-27 19:54:11.658057,AI_Email_Composer,3317,0.0332,6.52,30
2026-03-06 19:54:11.658095,AI_Support_Bot,731,0.0146,9.89,25
2026-03-12 19:54:11.658133,AI_Code_Refactor,3403,0.1021,24.08,60
2026-02-20 19:54:11.658171,AI_Email_Composer,3863,0.0386,10.97,30
